Month,Day,Time,Session,Presenter
Aug,30,9:00AM till 10:30AM,Welcome to India,Anand & Vikrant
Aug,30,11:00AM till 12:30,Brief for Pune Tour & Admin Induction,Shalini
Aug,30,14:30 till 15:30,Admin + Anti-Harrasment,Chitra
Aug,30,15:30 till 16:00,Alcohool & Drug Guidelines,Chitra
Aug,30,15:30 till 17:00,Common Group Coaching Session,Duda
Sep,2,9:00AM till 10:30AM,Welcome to TWU,Chitra & Duda
Sep,2,11:00AM till 12:30,Intro to Feedback,Minno & JK
Sep,2,13:30 till 15:00,3 Pillars,Alana & Vikrant
Sep,2,15:30 till 17:00,TW101 Social and Economic Justice Kick-Off Recap - Part 1 + P3 Case Study Briefing,Anand & Inger
Sep,3,9:00AM till 10:30AM,Agile Team Roles in Context,Minno & Alana
Sep,3,11:00AM till 12:30,Sales & Marketing,Duda & JK
Sep,3,13:30 till 15:00,Lego Game,Anand
Sep,3,15:30 till 17:00,Lego Game,Anand
Sep,4,17:30 till 18:30,Team Breakup - Assign Coachees,
Sep,4,9:00AM till 10:30AM,Consulting in Context,Vikrant
Sep,4,11:00AM till 12:30,"Story Lifecycle, definition of done, CFRs and INVEST",Inger & Anand
Sep,4,13:30 till 15:00,PO session,
Sep,4,15:30 till 17:00,First Commit (Dev/QA),
Sep,4,15:30 till 17:00,"Test the App, explore mingle (BA)",
Sep,4,17:30 till 18:30,Retro,Minno & Alana
Sep,5,9:00AM till 10:30AM,"Story Lifecycle, definition of done, CFRs and INVEST",Inger & Anand
Sep,5,11:00AM till 12:30,TDD FizzBuzz (Dev),
Sep,5,11:00AM till 12:30,Analyst Story Map Session (QA/BA),
Sep,5,13:30 till 15:00,BPM discovery with PO (BA),
Sep,5,13:30 till 15:00,Value Objects (Dev),
Sep,5,13:30 till 15:00,Bugs (QA),
Sep,5,15:30 till 17:00,Application Layers (Dev),
Sep,5,15:30 till 17:00,Release 2 Stories - Create a BPM/Story Map (BA),
Sep,5,15:30 till 17:00,QA in Context (QA),
Sep,5,17:30 till 18:30,Weekly trainer review with Chitra,
Sep,5,18:30 till 22:30,Bowling Night,
Sep,6,9:00AM till 10:30AM,Types of Testing,Vikrant & JK
Sep,6,11:00AM till 12:30,"Story Narrative, Acceptance Criteria (BA/QA)",
Sep,6,11:00AM till 12:30,Mocks and Stubs (Dev),
Sep,6,13:30 till 15:00,Release 2 story planning (BA),
Sep,6,13:30 till 15:00,Address Story (1/2) (Dev),
Sep,6,13:30 till 15:00,Testing Beyond Acceptance Criteria (QA),
Sep,6,15:30 till 17:00,Release 2 stories planning- identify/prioritise and slot stories for iteration 1 (BA),
Sep,6,15:30 till 17:00,Address Story (2/2) (Dev),
Sep,6,15:30 till 17:00,Now let's test (QA),
Sep,6,17:30 till 18:30,P3 team split + details to group,
Sep,9,9:00AM till 10:30AM,History of Imperialism,
Sep,9,11:00AM till 12:30,Refactoring - Tanuj's Exercise 1,
Sep,9,11:00AM till 12:30,TDD (QA),
Sep,9,13:30 till 15:00,Introduction to estimation - Minno & Duda,
Sep,9,15:30 till 17:00,Estimating stories for Iteration 1,
Sep,10,9:00AM till 10:30AM,Object Interactions,
Sep,10,9:00AM till 10:30AM,Why Automation (QA),
Sep,10,11:00AM till 12:30,TDD (QA),
Sep,10,13:30 till 15:00,Time to prep for IPM,
Sep,10,15:30 till 17:00,IPM with PO,
Sep,11,9:00AM till 10:30AM,Facilitation and communication,Alana & Chitra
Sep,11,11:00AM till 12:30,Case Study Checkpoint - Trainers for their groups,
Sep,11,13:30 till 15:00,Automation Tool Analysis (QA),
Sep,11,15:30 till 17:00,Automation Tool Analysis (QA),
Sep,11,17:30 till 19:30,Pecha Kucha,JK
Sep,12,9:00AM till 10:30AM,TW Values,Inger & Minno
Sep,12,12:30 till 13:30,Weekly Trainer review with Chitra - Team B,
Sep,12,13:30 till 15:00,Automation Tool Analysis (QA),
Sep,12,15:30 till 17:00,Analysis discussion with PO (BA),
Sep,12,15:30 till 17:00,Automation Tool Analysis (QA),
Sep,13,9:00AM till 10:30AM,Finance - Anand & Alana,
Sep,13,11:00AM till 12:30,Refactoring Project Code,
Sep,13,15:30 till 17:00,Stories for week 2 (BA),
Sep,16,9:00AM till 10:30AM,Being a PM @ TW,Duda
Sep,16,11:00AM till 12:30,Clean Code,
Sep,16,15:30 till 17:30,TW101 Recap: Part 2,Inger & Vikrant
Sep,17,9:00AM till 10:30AM,SIP & HSP (HSP Team),
Sep,17,15:30 till 17:00,Showcase with PO,
Sep,17,17:30 till 18:30,Retro,
Sep,18,9:00AM till 10:30AM,Mars Rover refactoring (Dev),
Sep,18,11:00AM till 12:30,Scope Management (BA),Inger & Nelice
Sep,18,13:30 till 15:00,IPM with PO,
